,Unnamed: 0,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview,year,month,day,fixed_budget,fixed_revenue,fixed_gross
39,50,21879,The Hollywood Knights,1980-05-18,91,Comedy,2500000,10000000,6.2,42,4.344,"Led by their comedic and pranking leader, Newbomb Turk, the Hollywood Knights car gang raise hell throughout Beverly Hills on Halloween Night, 1965. Everything from drag racing to Vietnam to high school love.",1980,5,18,9258380.794919876,37033523.179679506,27775142.384759627
40,53,16121,The Big Red One,1980-01-22,113,"Drama,War",4500000,7206220,6.8,223,8.45,"A veteran sergeant of World War I leads a squad in World War II, always in the company of the survivor Pvt. Griff, the writer Pvt. Zab, the Sicilian Pvt. Vinci and Pvt. Johnson, in Vichy French Africa, Sicily, D-Day at Omaha Beach, Belgium and France, and ending in a concentration camp in Czechoslovakia where they face the true horror of war.",1980,1,22,16665085.430855777,26687171.540787015,10022086.109931238
41,54,24575,Raise the Titanic,1980-08-01,115,Adventure,36000000,7000000,5.5,64,10.187,"To obtain a supply of a rare mineral, a ship raising operation is conducted for the only known source, the Titanic.",1980,8,1,133320683.44684622,25923466.225775663,-107397217.22107056
42,61,33155,Galaxina,1980-06-06,95,"Comedy,Fiction",5500000,4865000,4.1,41,6.878,"Galaxina is a lifelike, voluptuous android who is assigned to oversee the operations of an intergalactic Space Police cruiser captained by incompetent Cornelius Butt. When a mission requires the ship's crew to be placed in suspended animation for decades, Galaxina finds herself alone for many years, developing emotions and falling in love with the ship's pilot, Thor.",1980,6,6,20368437.74882373,18016809.026914086,-2351628.721909642
43,62,92323,Willie and Phil,1980-08-15,115,"Comedy,Drama,Romance",5500000,4400000,4.4,5,2.515,"Life imitates art when two Manhattanites — pompous teacher Willie and quiet photographer Phil — become friends after a thought-provoking screening of ""Jules et Jim,"" Truffaut's classic film about a decades-long ménage à trois. Soon, the men meet Jeanette, a sexually liberated southern transplant who promptly falls for both of them. Frustrated passions curdle into jealousy as Jeanette entertains love affairs with each in the ensuing years.",1980,8,15,20368437.74882373,16294750.19905898,-4073687.5497647487
44,65,11953,影武者,1980-04-26,180,"Action,Drama,History,War",6000000,4000000,7.8,500,11.631,"Akira Kurosawa's lauded feudal epic presents the tale of a petty thief who is recruited to impersonate Shingen, an aging warlord, in order to avoid attacks by competing clans. When Shingen dies, his generals reluctantly agree to have the impostor take over as the powerful ruler. He soon begins to appreciate life as Shingen, but his commitment to the role is tested when he must lead his troops into battle against the forces of a rival warlord.",1980,4,26,22220113.907807708,14813409.271871801,-7406704.635935906
45,67,47942,When Time Ran Out...,1980-03-28,121,"Action,Adventure,Drama,Thriller",20000000,3763988,5.8,46,4.761,An active volcano threatens a south Pacific island resort and its guests as a power struggle ensues between the property's developer and a drilling foreman.,1980,3,28,74067046.35935901,13939373.684603559,-60127672.674755454
46,68,10935,Heaven's Gate,1980-11-19,219,"Drama,Western",44000000,3484331,6.8,263,9.265,"Harvard graduate James Averill is the sheriff of prosperous Jackson County, Wyo., when a battle erupts between the area's poverty-stricken immigrants and its wealthy cattle farmers. The politically connected ranch owners fight the immigrants with the help of Nathan Champion, a mercenary competing with Averill for the love of local madam Ella Watson. As the struggle escalates, Averill and Champion begin to question their decisions.",1980,11,19,162947501.99058983,12903705.28541759,-150043796.70517224
47,70,21028,Москва слезам не верит,1980-02-11,142,"Drama,Comedy,Romance",900000,2500000,7.8,179,5.079,"This is a life story of three girlfriends from youth to autumn ages. Their dreams and wishes, love, disillusions...",1980,2,11,3333017.086171155,9258380.794919876,5925363.7087487215
48,77,184979,Banker Bilo,1980-01-01,85,"Drama,Comedy",85000,243000,7.0,47,3.436,Bilo and his friends made an agreement with Maho to go to Germany.,1980,1,1,314784.9470272758,899914.6132662125,585129.6662389367
49,78,19664,The Sea Wolves,1980-07-03,120,"War,Action,Thriller",12000000,220181,5.9,61,6.112,"This true story follows the exploits of a top-secret British military mission to destroy Nazi radio ships in a neutral harbor during WWII. The daring plan is led by British Intelligence officers Col. Lewis Pugh (Gregory Peck) and Capt. Gavin Stewart (Roger Moore). Since the ships are in neutral territory the British Military command, while encouraging the scheme, must deny any knowledge of it if it fails. Pugh and Stewart enlist the aid of retired officer Col. Bill Grice (David Niven) and some of his former soldiers. On the pretext of being on a fishing expedition, these seemingly drunken old men in civilian clothing must board and destroy 3 Nazi ships, whose radio transmissions have resulted in Nazi submarines sinking allied ships. While Stewart arranges a diversion onshore, Pugh and Grice carry out the dangerous raid on and destruction of the Nazi ships.",1980,7,3,44440227.815615416,815407.8167225015,-43624819.99889291
50,137,85,Raiders of the Lost Ark,1981-06-12,115,"Adventure,Action",18000000,389925971,7.9,10357,36.417,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",1981,6,12,58991452.85258681,1277905529.6803136,1218914076.8277268
51,138,699,For Your Eyes Only,1981-06-23,127,"Adventure,Action,Thriller",28000000,195312802,6.5,1464,18.725,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,1981,6,23,91764482.21513513,640099219.4827571,548334737.267622
52,139,10246,Porky's,1981-11-13,94,Comedy,4000000,125728258,6.4,683,18.78,"Set in 1954, a group of Florida high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",1981,11,13,13109211.7450193,412049589.1136043,398940377.368585
53,140,11816,On Golden Pond,1981-12-01,109,"Adventure,Drama,Romance",15000000,119285432,7.3,357,7.285,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years.",1981,12,1,49159544.04382241,390934496.546025,341774952.5022026
54,141,13665,Arthur,1981-07-17,97,"Comedy,Drama,Romance",7000000,95461682,6.5,334,10.903,Arthur is a 30-year-old child who will inherit $750 million if he complies with his family's demands and marries the woman of their choosing.,1981,7,17,22941120.55378378,312856850.71842444,289915730.16464067
55,142,10890,Stripes,1981-06-25,106,"Action,Comedy",10000000,85300000,6.5,719,9.999,"John Winger, an indolent sad sack in his 30s, impulsively joins the U.S. Army after losing his job, his girlfriend and his apartment.",1981,6,25,32773029.362548247,279553940.4625366,246780911.09998834
56,143,387,Das Boot,1981-09-17,150,"Drama,History,War",14000000,85000000,8.1,1733,19.458,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",1981,9,17,45882241.10756756,278570749.5816601,232688508.47409254
