,original_title,id,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor,predicted_goodness
44,影武者,11953,180,"Action,Drama,History,War",6000000,4000000,7.8,500,11.631,1980,4,26,22220113.907807708,14813409.2718718,-7406704.635935906,8.825639310180597,6.609320696352632,0.0,2.4107767383813745,4.461434186228651,7.092704908386908
45,When Time Ran Out...,47942,121,"Action,Adventure,Drama,Thriller",20000000,3763988,5.8,46,4.761,1980,3,28,74067046.35935901,13939373.68460356,-60127672.674755454,8.730462286885482,4.465372234353569,0.0,5.128037205041429,4.58096793157012,7.120090990445972
46,Heaven's Gate,10935,219,"Drama,Western",44000000,3484331,6.8,263,9.265,1980,11,19,162947501.99058983,12903705.28541759,-150043796.70517224,8.500189520401413,5.986130674824589,0.0,1.5068381264747623,3.9982895804251912,7.011590769822185
47,Москва слезам не верит,21028,142,"Drama,Comedy,Romance",900000,2500000,7.8,179,5.079,1980,2,11,3333017.086171155,9258380.794919876,5925363.7087487215,8.846848217420453,5.788246595032494,0.0,3.690457306329852,4.5813880296957,6.780609856516643
48,Banker Bilo,184979,85,"Drama,Comedy",85000,243000,7.0,47,3.436,1980,1,1,314784.9470272758,899914.6132662125,585129.6662389367,8.838471479064971,4.632875418766296,0.0,4.062194167527979,4.383385266339811,6.961509648520856
49,The Sea Wolves,19664,120,"War,Action,Thriller",12000000,220181,5.9,61,6.112,1980,7,3,44440227.815615416,815407.8167225015,-43624819.99889291,8.762454452649282,4.704628691354343,0.0,5.246259359513946,4.678335625879392,6.819792969656833
50,Raiders of the Lost Ark,85,115,"Adventure,Action",18000000,389925971,7.9,10357,36.417,1981,6,12,58991452.85258681,1277905529.6803136,1218914076.8277268,9.591062492720653,9.042074672910156,0.0,6.071250033605381,6.176096799809047,7.2742901137564475
51,For Your Eyes Only,699,127,"Adventure,Action,Thriller",28000000,195312802,6.5,1464,18.725,1981,6,23,91764482.21513513,640099219.4827571,548334737.267622,9.323371286662027,7.322308034917138,0.0,4.570040087261444,5.303929852210152,7.033868700474415
52,Porky's,10246,94,Comedy,4000000,125728258,6.4,683,18.78,1981,11,13,13109211.7450193,412049589.1136043,398940377.368585,9.233833960759208,6.700491369319416,0.0,4.674067902962041,5.152098308260166,7.263162236582732
53,On Golden Pond,11816,109,"Adventure,Drama,Romance",15000000,119285432,7.3,357,7.285,1981,12,1,49159544.04382241,390934496.546025,341774952.5022026,9.194285452348495,6.287099506515158,0.0,8.109485493949792,5.897717613203362,7.102077351319937
54,Arthur,13665,97,"Comedy,Drama,Romance",7000000,95461682,6.5,334,10.903,1981,7,17,22941120.55378378,312856850.71842444,289915730.16464067,9.155159325324544,6.141091080537857,0.0,4.946821826697015,5.060768058139853,7.11175938167006
55,Stripes,10890,106,"Action,Comedy",10000000,85300000,6.5,719,9.999,1981,6,25,32773029.362548247,279553940.4625366,246780911.0999884,9.119831610595655,6.753942105085112,0.0,6.411483596755659,5.571314328109106,7.1906982608504935
56,Das Boot,387,150,"Drama,History,War",14000000,85000000,8.1,1733,19.458,1981,9,17,45882241.10756756,278570749.5816601,232688508.4740925,9.107667188450815,7.633036497263151,0.0,3.353118395585866,5.023455520324959,7.061909675381526
57,The Cannonball Run,11286,95,"Action,Comedy",18000000,72179579,6.1,492,7.556,1981,6,19,58991452.85258681,236554346.194337,177562893.3417502,9.056680264408492,6.399928688169554,0.0,4.759539621348529,5.0540371434816445,6.991616479278947
58,Chariots of Fire,9443,123,"Drama,History",5500000,58972904,6.9,688,13.091,1981,5,15,18025166.14940153,193272071.438674,175246905.28927243,9.054407516595726,6.766448757714576,0.0,4.91758485462925,5.184610282234888,7.131535399952686
59,La Guerre du feu,62204,100,"Adventure,Drama",12000000,55260558,7.0,388,6.143,1981,12,16,39327635.23505788,181105588.9924801,141777953.7574222,9.020225608070367,6.320115495903104,0.0,5.283220467720344,5.155890392923454,7.105408250757047
60,Escape from New York,1103,99,"Fiction,Action",6000000,50244700,7.1,2502,12.26,1981,5,23,19663817.61752894,164667102.84124282,145003285.22371387,9.023634031196735,7.821248881634443,0.0,5.161963534029777,5.501711611715239,7.1093890625786305
61,Hardly Working,130724,91,Comedy,3400000,49000000,4.5,18,2.062,1981,4,3,11142829.983266396,160587843.87648636,149445013.89321998,9.028286395056114,3.5125487604073413,0.0,4.443065161753528,4.245975079304245,7.0599362905151235
62,Time Bandits,36819,116,"Family,Fantasy,Fiction,Adventure,Comedy",5000000,42365581,6.6,787,8.011,1981,7,13,16386514.681274123,138844843.0074416,122458328.3261675,8.999255337238843,6.838377227018515,0.0,5.859713920736208,5.424336621248392,7.080959351776541
63,Clash of the Titans,10323,118,"Action,Adventure,Family,Fantasy",15000000,41092328,6.9,589,18.665,1981,6,12,49159544.04382241,134672007.21194637,85512463.16812396,8.95623611818768,6.642265070634993,0.0,5.518218854984392,5.279180010951766,7.266987460007352
