,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview
2940,9304,Multiplicity,1996-07-19,117,"Comedy,Fantasy,Fiction",45000000,21075014,5.8,436,10.188,"Construction worker Doug Kinney finds that the pressures of his working life, combined with his duties to his wife Laura and daughter Jennifer leaves him with little time for himself. However, he is approached by geneticist Dr. Owen Leeds, who offers Doug a rather unusual solution to his problems: cloning."
2941,9625,The Glimmer Man,1996-10-04,92,"Action,Crime",45000000,20350000,5.5,315,10.292,"A former government operative renowned for his stealth, Jack Cole is now a Los Angeles police detective. When a series of horrible murders occurs in the metro area, Cole is assigned to the case, along with tough-talking fellow cop Jim Campbell. Although the two men clash, they gradually become effective partners as they uncover a conspiracy linked to the killings, which also involves terrorism and organized crime."
2942,1630,The People vs. Larry Flynt,1996-12-25,130,Drama,36000000,20300385,7.0,888,9.808,"Larry Flynt is the hedonistically obnoxious, but indomitable, publisher of Hustler magazine. The film recounts his struggle to make an honest living publishing his girlie magazine and how it changes into a battle to protect the freedom of speech for all people."
2943,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,89,Comedy,3800000,20109115,6.9,976,74.098,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
2944,36355,Flipper,1996-05-17,95,"Adventure,Family",25530000,20080020,5.5,265,8.903,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime."
2947,11511,Kazaam,1996-07-17,93,"Fantasy,Comedy,Family",20000000,18937262,4.2,219,8.042,"When Max fools a gang of local toughs, he finds himself in big trouble. Fleeing from the thugs, Max runs into an old warehouse and bumps into a boom box. By doing that, he manages to release Kazaam, a genie who has been held captive for thousands of years."
2948,9566,The Fan,1996-08-15,116,"Thriller,Action",55000000,18626419,5.9,634,10.354,"When the San Francisco Giants pay center-fielder, Bobby Rayburn $40 million to lead their team to the World Series, no one is happier or more supportive than #1 fan, Gil Renard.  When Rayburn becomes mired in the worst slump of his career, the obsessed Renard decides to stop at nothing to help his idol regain his former glory—not even murder."
2949,10546,The Crow: City of Angels,1996-08-29,94,"Action,Fantasy,Thriller",13000000,17917287,5.5,410,12.71,"After Ashe and his little son are murdered violently for no reason by Judah's men, he returns from the dead to take revenge. One after one, Judah's people face the power of the dark angel. The second film based on James O'Barr's cult comic."
2950,11306,Extreme Measures,1996-09-27,118,"Drama,Thriller",38000000,17380126,5.9,250,7.456,"Guy Luthan, a British doctor working at a hospital in New York, starts making unwelcome enquiries when the body of a man who died in his emergency room disappears. After the trail leads Luthan to the door of an eminent surgeon at the hospital, Luthan soon finds himself in extreme danger people who want the hospital's secret to remain undiscovered."
2951,9826,The Phantom,1996-06-06,100,"Adventure,Action",45000000,17300889,5.2,460,10.163,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.
2952,18550,Fled,1996-07-19,98,Action,25000000,17193231,5.6,170,7.197,"During a routine prison work detail, convict Piper is chained to Dodge, a cyberhacker, when gunfire breaks out. Apparently, the attack is related to stolen money that the Mafia is after, and some computer files that somebody wants desperately to bury. The pair, who don't exactly enjoy each other's company, escape and must work together if they are to reach Atlanta alive. Luckily, they meet a woman who may be willing to help them."
2953,1770,Michael Collins,1996-10-25,132,"War,Drama,Thriller,History",25000000,16900000,6.9,369,9.323,"Michael Collins plays a crucial role in the establishment of the Irish Free State in the 1920s, but becomes vilified by those hoping to create a completely independent Irish republic."
2954,8766,Hellraiser: Bloodline,1996-03-08,86,"Horror,Fiction",4000000,16675000,5.3,392,21.445,"In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions."
2955,627,Trainspotting,1996-02-23,94,"Drama,Crime",4000000,16491080,8.0,8374,23.212,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows."
2957,2074,Flirting with Disaster,1996-03-22,92,Comedy,7000000,14702438,6.2,189,8.963,"Adopted as a child, new father Mel Colpin decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy, and an inept yet gorgeous adoption agent, Tina, he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents."
2958,10547,The Arrival,1996-05-31,115,"Fiction,Thriller",25000000,14063331,6.0,597,13.011,"Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue."
2960,11159,Secrets & Lies,1996-05-24,142,Drama,4500000,13417292,7.6,472,6.953,"With both her adoptive parents now dead, a black optometrist decides to make contact with her birth mother, but is shocked to find out that she is white."
2961,9536,Bio-Dome,1996-01-12,95,Comedy,8500000,13400000,4.5,291,7.698,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves."
2962,31908,Ghosts of Mississippi,1996-12-20,130,Drama,36000000,13323144,6.5,114,8.327,"In this film based on actual events, black activist Medgar Evers is murdered in 1963, and much of the evidence points toward white supremacist Byron De La Beckwith. However, after two trials, De La Beckwith is acquitted twice by a jury of whites. Now, decades later in 1989, Evers' widow, Myrlie, thinks she has evidence to finally convict him. But no lawyer will touch the case except the young and brash Bobby DeLaughter."
2963,26748,Lone Star,1996-06-21,135,"Drama,Mystery,Romance",5000000,13269963,7.0,260,6.791,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town."
2964,9819,Marvin's Room,1996-12-18,98,Drama,23000000,12803305,6.7,509,8.608,A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.
2965,11112,The Associate,1996-10-25,114,Comedy,23000000,12800000,6.3,175,7.12,Laurel Ayres is a businesswoman trying to make it but unfortunately she works at a investment firm where she does all the work but all the senior investors like Frank Peterson grab all the credit. She then leaves and starts her own firm. While trying to find clients Laurel pretends that she has a male partner named Robert Cutty. And when she starts to do well all of her clients wants to meet Cutty which is difficult since he doesn't exist.
2967,47907,The Spitfire Grill,1996-01-24,117,"Comedy,Drama",6000000,12643776,6.7,49,5.578,"Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire Grill. Percy brings change to the small town, stirring resentment and fear in some, and growth in others."
2968,9095,Mary Reilly,1996-02-23,104,"Drama,Horror,Thriller,History",47000000,12379402,5.9,258,8.184,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
2969,36344,Alaska,1996-08-14,109,"Adventure,Family",23000000,11829959,5.8,112,7.127,"Jake Barnes and his two kids, Sean and Jessie, have moved to Alaska after his wife died. He is a former airline pilot now delivering toilet paper across the mountains. During an emergency delivery in a storm his plane goes down somewhere in the mountains. Annoyed that the authorities aren't doing enough, Jessie and Sean set out on an adventure to find their father with the help of a polar bear which they have saved from a ferocious poacher. Conflict ensues."
2972,10534,White Squall,1996-02-02,129,"Adventure,Action,Drama",38000000,10300000,6.3,278,9.466,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm."
2973,40001,Mrs. Winterbourne,1996-04-19,105,"Comedy,Romance,Drama",25000000,10082005,6.9,125,7.812,"Connie Doyle is eighteen, pregnant and alone. She accidentally ends up on a train where she meets Hugh Winterbourne and his wife pregnant Patricia. The train wrecks and she wakes up in the hospital to find out that it's been assumed that she's Patricia. Hugh's mother takes her in and she falls in love with Hugh's brother Bill. Just when she thinks everything is going her way, her ex-boyfriend shows up."
2974,76111,Tina Turner: Live In Amsterdam - Wildest Dreams Tour,1996-11-01,120,"Music,Documentary",1000000,10000000,7.3,5,0.861,"Footage of Tina Turner's amazing three-night stint at the Amsterdam Arena in September, 1996, where she performed all her biggest hits in a spectacular visual production."
2975,11363,She's the One,1996-08-26,96,"Romance,Comedy",3500000,9538948,5.4,191,8.84,"Mickey, a free-spirited New York cabbie, and Francis, a materialistic Wall Street stockbroker, are extremely competitive and confused about women as a result of their father's influence. Though they disagree about everything, they have one thing in common: Mickey's ex-fiance Heather is Francis's secret love. Though both brothers have beautiful wives, Heather triggers their longtime sibling rivalry"
2976,43566,Before and After,1996-02-23,108,"Drama,Thriller,Mystery",35000000,8797839,6.1,143,8.225,Two parents deal with the effects when their son is accused of murdering his girlfriend.
2979,34170,Larger Than Life,1996-10-31,93,Comedy,30000000,8315693,5.5,113,6.874,"Motivational Speaker Jack Corcoran is determined to get his career off the ground, but the biggest gigs he can get are the ones nobody wants. Then one day, he receives a telegram that his circus clown father has passed away, and has left a ""huge"" inheritance. When he gets there, he finds that his inheritance has come in the form of an elephant that was his father's pride and joy in circus acts. His main intention is to sell the pachyderm off. Jack must choose between loud and rude zookeeper Mo or attractive animal show owner Terry. As the two treks through the country Jack and the elephant develop a bond, and it changes his approach on life for the better."
