original_title,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor
Raiders of the Lost Ark,115,"Adventure,Action",18000000,389925971,7.9,10357,36.417,1981,6,12,58991452.85258681,1277905529.6803136,1218914076.8277268,6.373045555041938,9.042074672910157,0.0,4.608678927952807,5.005949788976226
For Your Eyes Only,127,"Adventure,Action,Thriller",28000000,195312802,6.5,1464,18.725,1981,6,23,91764482.21513513,640099219.4827571,548334737.267622,4.745393625321321,7.322308034917138,0.0,2.737820558606711,3.7013805547112923
Porky's,94,Comedy,4000000,125728258,6.4,683,18.78,1981,11,13,13109211.7450193,412049589.1136043,398940377.368585,4.299656921627599,6.700491369319416,0.0,2.8622110171854453,3.4655898270331154
On Golden Pond,109,"Adventure,Drama,Romance",15000000,119285432,7.3,357,7.285,1981,12,1,49159544.04382241,390934496.546025,341774952.5022026,4.116348411758631,6.287099506515158,0.0,7.3471119141906565,4.437639958116112
Arthur,97,"Comedy,Drama,Romance",7000000,95461682,6.5,334,10.903,1981,7,17,22941120.55378378,312856850.71842444,289915730.16464067,3.9426891242658804,6.141091080537857,0.0,3.1923316390626058,3.3190279609665856
Stripes,106,"Action,Comedy",10000000,85300000,6.5,719,9.999,1981,6,25,32773029.362548247,279553940.4625366,246780911.09998837,3.7921915302573566,6.753942105085112,0.0,5.052639028115526,3.899693165864498
Das Boot,150,"Drama,History,War",14000000,85000000,8.1,1733,19.458,1981,9,17,45882241.10756756,278570749.5816601,232688508.4740925,3.7417114293801914,7.633036497263151,0.0,1.3490064315123782,3.1809385895389304
The Cannonball Run,95,"Action,Comedy",18000000,72179579,6.1,492,7.556,1981,6,19,58991452.85258681,236554346.194337,177562893.3417502,3.537333380303023,6.399928688169554,0.0,2.965046124366789,3.225577048209842
Chariots of Fire,123,"Drama,History",5500000,58972904,6.9,688,13.091,1981,5,15,18025166.149401534,193272071.438674,175246905.28927243,3.5284877482759542,6.766448757714576,0.0,3.1566749875732114,3.3629028733909356
La Guerre du feu,100,"Adventure,Drama",12000000,55260558,7.0,388,6.143,1981,12,16,39327635.23505788,181105588.9924801,141777953.7574222,3.3980874001985675,6.320115495903104,0.0,3.607100668163287,3.3313258910662396
Escape from New York,99,"Fiction,Action",6000000,50244700,7.1,2502,12.26,1981,5,23,19663817.61752894,164667102.84124282,145003285.22371387,3.410870873661192,7.821248881634443,0.0,3.456653714095997,3.672193367347908
Hardly Working,91,Comedy,3400000,49000000,4.5,18,2.062,1981,4,3,11142829.983266396,160587843.87648636,149445013.89321998,3.428397469618472,3.5125487604073413,0.0,2.587155057298171,2.382025321830996
Time Bandits,116,"Family,Fantasy,Fiction,Adventure,Comedy",5000000,42365581,6.6,787,8.011,1981,7,13,16386514.681274123,138844843.0074416,122458328.3261675,3.32048468545227,6.838377227018515,0.0,4.335979064537514,3.6237102442520746
Clash of the Titans,118,"Action,Adventure,Family,Fantasy",15000000,41092328,6.9,589,18.665,1981,6,12,49159544.04382241,134672007.21194637,85512463.16812396,3.166790037512884,6.642265070634993,0.0,3.9015741067015357,3.427657303712353
Absence of Malice,116,"Drama,Romance,Thriller",12000000,40716963,6.7,150,8.037,1981,11,19,39327635.23505788,133441822.39527903,94114187.16022116,3.203231833542376,5.525458452357034,0.0,4.335979064537514,3.2661673376092315
Reds,195,"Drama,History,Romance",35000000,40382659,7.0,248,6.563,1981,12,25,114705602.76891886,132346206.91447736,17640604.145558506,2.863022671517601,5.962360848345588,0.0,0.0,2.2063458799657973
Taps,126,"War,Drama",14000000,35856053,6.9,219,9.651,1981,12,20,45882241.10756756,117511147.7794086,71628906.67184104,3.1070698573371742,5.8514592976914335,0.0,2.832994992800322,2.9478810369572326
Sharky's Machine,122,"Crime,Drama,Action,Thriller",17500000,35610100,6.1,70,6.314,1981,12,18,57352801.38445943,116705085.29032794,59352283.90586851,3.053288953569246,4.841277809552224,0.0,3.2805743994986036,2.7937852906550185
Excalibur,140,"Adventure,Fantasy",11000000,34967437,7.0,785,15.709,1981,4,10,36050332.29880308,114598883.95340556,78548551.65460248,3.1369768581861606,6.883375435105479,0.0,1.8275021012494232,2.9619635986352657
An American Werewolf in London,97,"Horror,Comedy",10000000,31973249,7.4,1874,27.847,1981,8,21,32773029.362548247,104786022.8293067,72012993.46675846,3.108737438680693,7.623314519145357,0.0,3.1923316390626058,3.481095899222164
