,Unnamed: 0,id,original_title,release_date,vote_average,vote_count,popularity,budget,revenue,overview,wordcount,avg_sent_length,adjectives,nouns,adjective_ratio,ellipses,exclamation_points,unusual_punctuation
10,10,2160,Voyage to the Bottom of the Sea,1961-07-12,5.8,98,12.647,1580000,7000000,The crew of an atomic submarine battle to save the world from global destruction.,14,15.0,"['atomic', 'global']","['crew', 'submarine', 'battle', 'world', 'destruction']",0.14285714285714285,0,0,[]
11,11,248,Pocketful of Miracles,1961-12-18,7.3,132,9.14,2900000,5000000,"Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much a part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples -- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.",137,30.8,"['brassy', 'much', 'downtown', 'new', 'old', 'luck', 'dave', 'girlfriend', 'spanish', 'new', 'new']","['boozy', 'apple', 'annie', 'beggar', 'basket', 'apples', 'part', 'york', 'broadway', 'bootlegger', 'dude', 'sucker', 'apples', 'queenie', 'martin', 'lot', 'luck', 'annie', 'jam', 'annie', 'daughter', 'louise', 'life', 'convent', 'count', 'son', 'count', 'son', 'louise', 'mother', 'part', 'york', 'society', 'cronies', 'lady', 'count', 'son', 'york', 'elite']",0.08029197080291971,0,0,"['--', ':']"
12,12,18647,One-Eyed Jacks,1961-03-30,6.8,158,9.974,6000000,4300000,"Running from the law after a bank robbery in Mexico, Dad Longworth finds an opportunity to take the stolen gold and leave his partner Rio to be captured. Years later, Rio escapes from the prison where he has been since, and hunts down Dad for revenge. Dad is now a respectable sheriff in California, and has been living in fear of Rio's return.",63,23.666666666666668,"['dad', 'respectable']","['law', 'bank', 'robbery', 'mexico', 'longworth', 'opportunity', 'gold', 'partner', 'rio', 'years', 'escapes', 'prison', 'hunts', 'dad', 'revenge', 'dad', 'sheriff', 'california', 'fear', 'rio', 'return']",0.031746031746031744,0,0,[]
13,13,28284,Parrish,1961-05-04,5.4,7,2.255,1500000,4200000,"Parrish McLean lives with his mother Ellen on Sala Post's tobacco plantation in the Connecticut River Valley. His mother winds up marrying Sala's rival Judd Raike, ruthless planter who wants to drive Sala out of business. Judd insists that Parrish learn the business from the ground up.",47,17.666666666666668,"['parrish', 'rival', 'ruthless']","['mclean', 'mother', 'ellen', 'sala', 'post', 'tobacco', 'plantation', 'connecticut', 'river', 'valley', 'mother', 'sala', 'judd', 'raike', 'planter', 'sala', 'business', 'judd', 'parrish', 'business', 'ground']",0.06382978723404255,0,0,[]
14,14,18228,Blue Hawaii,1961-11-22,5.9,98,7.03,2000000,4200000,"Chad Gates has just been discharged from the Army, and is happy to be back in Hawaii with his surf-board, his beach buddies and his girlfriend.",26,29.0,['happy'],"['chad', 'gates', 'army', 'hawaii', 'surf-board', 'beach', 'buddies', 'girlfriend']",0.038461538461538464,0,0,[]
15,15,430,"One, Two, Three",1961-12-15,7.6,283,11.984,3000000,4000000,"C.R. MacNamara will do anything to get a promotion within the Coca-Cola company, including looking after boss W.P. Hazeltine's rebellious teenage daughter, Scarlett. When Scarlett visits Berlin, where C.R. is stationed, she reveals that she is married to a communist named Otto Piffl -- and C.R. recognizes that Otto's anti-establishment stance will clash with his boss's own political views, possibly jeopardizing his promotion.",62,12.833333333333334,"['coca-cola', 'rebellious', 'scarlett', 'anti-establishment', 'own', 'political']","['c.r', 'macnamara', 'anything', 'promotion', 'company', 'boss', 'w.p', 'hazeltine', 'teenage', 'daughter', 'scarlett', 'visits', 'berlin', 'c.r', 'communist', 'piffl', 'c.r', 'otto', 'stance', 'boss', 'views', 'promotion']",0.0967741935483871,0,0,['--']
16,16,39410,モスラ,1961-07-30,7.2,121,10.895,0,2237760,"Shipwreck survivors found on the presumably uninhabited Infant Island leads to a scientific expedition that discovers a surviving native population along with the Shobijin, tiny twin fairy priestesses of the island's mythical deity called Mothra. After the fairies are kidnapped by an exploitative businessman named Clark Nelson, Mothra sets out to rescue them.",53,29.0,"['uninhabited', 'scientific', 'native', 'tiny', 'mythical', 'exploitative']","['shipwreck', 'survivors', 'infant', 'island', 'expedition', 'population', 'shobijin', 'twin', 'fairy', 'priestesses', 'island', 'deity', 'mothra', 'fairies', 'businessman', 'clark', 'nelson']",0.11320754716981132,0,0,[]
17,17,28501,The Pit and the Pendulum,1961-08-12,6.9,247,8.568,200000,2000000,"Francis Barnard goes to Spain, when he hears his sister Elizabeth has died. Her husband Nicholas Medina, the son of the most brutal torturer of the Spanish Inquisition, tells him she has died of a blood disease, but Francis finds this hard to believe. After some investigating he finds out that it was extreme fear that was fatal to his sister and that she may have been buried alive!",69,25.333333333333332,"['brutal', 'spanish', 'francis', 'hard', 'extreme', 'fatal', 'alive']","['barnard', 'sister', 'elizabeth', 'husband', 'nicholas', 'medina', 'son', 'torturer', 'inquisition', 'blood', 'disease', 'investigating', 'fear', 'sister']",0.10144927536231885,0,1,['!']
18,18,4497,Viridiana,1961-05-17,7.7,407,6.725,0,679244,"Viridiana is preparing to start her life as a nun when she is sent, somewhat unwillingly, to visit her aging uncle, Don Jaime. He supports her; but the two have met only once. Jaime thinks Viridiana resembles his dead wife. Viridiana has secretly despised this man all her life and finds her worst fears proven when Jaime grows determined to seduce his pure niece. Viridiana becomes undone as her uncle upends the plans she had made to join the convent.",80,17.8,"['sent', 'jaime', 'dead', 'worst']","['viridiana', 'life', 'nun', 'uncle', 'don', 'jaime', 'thinks', 'wife', 'viridiana', 'man', 'life', 'fears', 'jaime', 'grows', 'pure', 'niece', 'viridiana', 'uncle', 'plans', 'convent']",0.05,0,0,[';']
19,19,43020,Il colosso di Rodi,1961-06-15,6.0,139,6.86,0,350000,"While on holiday in Rhodes, Athenian war hero Darios becomes involved in two different plots to overthrow the tyrannical king, one from Rhodian patriots and the other from sinister Phoenician agents.",31,34.0,"['athenian', 'different', 'tyrannical', 'rhodian', 'other', 'sinister', 'phoenician']","['holiday', 'rhodes', 'war', 'hero', 'darios', 'plots', 'king', 'patriots', 'agents']",0.22580645161290322,0,0,[]
