,id,original_title,genres,release_date,vote_average,vote_count,popularity,budget,revenue,overview
697,1012284,Inca-Cuzco,Documentary,1934-07-26,0.0,0,0.6,0,0,"Documentary composed of several fragments showing the folklore and festivities of Cuzco, which resemble the Inca culture."
698,1011821,The Big Meow,Comedy,1934-03-09,0.0,0,0.6,0,0,"When the story begins, Harry the Heaver calls a judge and threatens him. The police, however, have no idea where the crook is...so he hires two idiots to follow Harry's girlfriend so that they can lead them to his hideout. Unfortunately, since they are pretty dim, they end up following the judge's wife instead!"
699,1011764,A Duke for a Day,Comedy,1934-05-12,0.0,0,0.6,0,0,"Movie star Gloria Blossom (Jeanette Loff) is unhappy with her press agent's (Eddie Foy, Jr.) attempts at publicity. After reading newspaper stories about other stars marrying into royalty, she demands that Eddie ""promote me a husband with a title within 24 hours"". With the dubious assistance of reporter Don Barclay and photographer Billy Nelson he talks the first man with a British accent that he meets into marrying Gloria, fooling her into believing he is a Duke. The trouble is that the man is a big fan of Gloria the movie star and is madly in love with her, so after the wedding, when she finds out the truth, her new husband refuses to divorce her. A wild free-for-all fight ensues in the hotel. In typical Hal Roach comedy fashion, numerous innocent bystanders are pulled into the action."
700,12311,Mutiny on the Bounty,"Adventure,Drama,History",1935-11-22,7.4,243,10.646,1950000,4460000,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors."
701,3080,Top Hat,"Comedy,Music,Romance",1935-08-29,7.4,228,10.037,609000,3202000,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace."
702,229,The Bride of Frankenstein,"Drama,Horror,Fiction",1935-04-20,7.6,697,14.192,393750,2000000,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein falls under the control of his former mentor, Dr. Pretorius, who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control."
703,70881,Anna Karenina,"Drama,Romance",1935-08-30,6.7,66,6.084,1152000,1439000,In 19th century Russia a woman in a respectable marriage to a senior statesman must grapple with her love for a dashing soldier.
704,82106,After Office Hours,"Crime,Drama,Romance",1935-02-22,6.3,7,2.254,366000,1281000,"A managing editor sends a socialite reporter to spy on her boyfriend, mixed up in murder."
705,43896,The Informer,"Crime,Drama",1935-05-09,6.8,72,7.125,243000,950000,"Gypo Nolan is a former Irish Republican Army man who drowns his sorrows in the bottle. He's desperate to escape his bleak Dublin life and start over in America with his girlfriend. So when British authorities advertise a reward for information about his best friend, current IRA member Frankie, Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?"
706,53863,Star of Midnight,"Comedy,Mystery,Romance",1935-04-19,6.3,15,1.63,280000,831000,"When a dancer disappears from a theater,  Clay Dalzell is asked to investigate, leading him on a trail of murder and deception."
707,43886,Alice Adams,"Comedy,Drama,Romance",1935-08-23,6.8,34,2.634,342000,770000,"In the lower-middle-class Adams family, father and son are happy to work in a drugstore, but mother and daughter Alice try every possible social-climbing stratagem despite snubs and embarrassment. When Alice finally meets her dream man Arthur, mother nags father into a risky business venture and plans to impress Alice's beau with an ""upscale"" family dinner. Will the excruciating results drive Arthur away?"
708,43887,Annie Oakley,"Drama,Western",1935-11-15,6.5,25,4.718,354000,620000,Awkward Annie (Barbara Stanwyck) loves her sharpshooting rival (Preston Foster) in Buffalo Bill's Wild West Show.
709,31866,Sylvia Scarlett,"Comedy,Drama,Romance",1935-12-25,6.5,67,4.118,641000,497000,"When her father decides to flee to England, young Sylvia Scarlett must become Sylvester Scarlett and protect her father every step of the way, with the questionable help of plenty others."
710,405607,Captain Hurricane,"Comedy,Drama,Romance",1935-03-01,4.0,1,0.6,208,150,"Zenas Brewster is a seafaring man with a bad reputation. Notorious for his tempestuous nature, Brewster has earned the nickname of ""Captain Hurricane."" Brewster is smitten with neighbor Abbie Howland, but she doesn't like his temperament. After a period of retirement, a bad investment puts Brewster back at work on the sea. And when fire overtakes his ship, Hurricane proves heroic, selflessly rescuing his crew from a grisly and deadly fate."
